Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
6LQ3lcP8W7oCrA6fUq34Hy,7euEaCjHWLLK6kN21wCfJb,El Profesor,221480,2023-03-04T00:05:25Z,False,https://open.spotify.com/track/6LQ3lcP8W7oCrA6fUq34Hy
1IdSPagRNE4i6cr6I8QBYD,3dCEXNx36W29EYCMUAx5p5,Ciego De Amor - Featuring Anthony Santos,307933,2023-02-11T04:32:27Z,False,https://open.spotify.com/track/1IdSPagRNE4i6cr6I8QBYD
4Aj6MdK3oRA3thGcp5UzKJ,2eIfWmj7khob6SiDVlr5Uo,Sabanas Blancas,213524,2023-10-10T01:42:09Z,False,https://open.spotify.com/track/4Aj6MdK3oRA3thGcp5UzKJ
6Yeiqec7xM5qssOH1FWV1g,3CFK4hbF6HfIXEpWXJV3CF,No Tengo Suerte En El Amor,239866,2023-02-17T14:12:17Z,False,https://open.spotify.com/track/6Yeiqec7xM5qssOH1FWV1g
18tS6OYnEJfHWokX62T322,3CFK4hbF6HfIXEpWXJV3CF,Perdido,245866,2022-02-20T06:52:38Z,False,https://open.spotify.com/track/18tS6OYnEJfHWokX62T322
0DTfdFHQmmPPdDtGtp2k78,6eBMH3dwr1az0SVp69SDQm,Un X100To,228941,2023-11-20T15:17:35Z,False,https://open.spotify.com/track/0DTfdFHQmmPPdDtGtp2k78
2ToTCM42XytROqwKptTeqN,3CFK4hbF6HfIXEpWXJV3CF,Guitarra,244133,2022-02-20T06:53:02Z,False,https://open.spotify.com/track/2ToTCM42XytROqwKptTeqN
0wDEs6WvqDHq4XJZC0dHhO,4aqcDA0Q2UEPInj5a89Cjr,Hoja En Blanco,307200,2023-05-06T17:55:03Z,False,https://open.spotify.com/track/0wDEs6WvqDHq4XJZC0dHhO
2CKHpIltFZM1xr7DwaJAPD,5uqJFGQJzmKgNYHypXEAVd,Flowers (Bachata Version),196530,2023-10-21T21:59:58Z,False,https://open.spotify.com/track/2CKHpIltFZM1xr7DwaJAPD
30oZjF87SHCd0CE0ttGm5U,3si9Tt0MEyLf26borb6B5p,Carita de Inocente,191209,2022-02-20T17:51:21Z,False,https://open.spotify.com/track/30oZjF87SHCd0CE0ttGm5U
67BhTON8ouVhJrpgxphcux,53nK0vZHQl7D84x6INYFPP,Quiero Saber De Ti,282958,2022-02-20T06:52:02Z,False,https://open.spotify.com/track/67BhTON8ouVhJrpgxphcux
3ORQsL0g4APGsXoqD5tkpm,2Z9tU5T5Xad6u4rTGjZIy7,Mi Niña Cambió,273920,2022-02-20T17:56:55Z,False,https://open.spotify.com/track/3ORQsL0g4APGsXoqD5tkpm
7lyJL9GD1r0WiFkzYei8qI,22bx1awdXvBESE7FfI0aDn,OA,219959,2024-01-17T17:14:03Z,False,https://open.spotify.com/track/7lyJL9GD1r0WiFkzYei8qI
4XwpHPwUt9yFAUpzGBtWKy,0jtFUO3fffRXGa7OsWw9iN,Sin Perdón,245200,2022-02-20T17:57:14Z,False,https://open.spotify.com/track/4XwpHPwUt9yFAUpzGBtWKy
3GUT8tmtbwj1C5DKBWVksd,2jzw3cgZurdN3wijt27Iyg,Consecuencias,246667,2023-02-17T13:59:15Z,False,https://open.spotify.com/track/3GUT8tmtbwj1C5DKBWVksd
5hhMqFyklLrysNN3KGnQub,0mX3OGgKkGaFONpd2IfB1N,Dime Que Falto,255320,2022-02-20T06:52:32Z,False,https://open.spotify.com/track/5hhMqFyklLrysNN3KGnQub
7fBuy1fdHEwG3mRdlHNM41,3kGn13mW34Ookfj6yiY8BF,Sus Huellas,214613,2022-10-04T18:34:03Z,False,https://open.spotify.com/track/7fBuy1fdHEwG3mRdlHNM41
3Wm1oGYdTvTdjc9AzbcgfV,2jzw3cgZurdN3wijt27Iyg,Otra Copa,179517,2022-07-11T15:49:24Z,False,https://open.spotify.com/track/3Wm1oGYdTvTdjc9AzbcgfV
2colCrVYpDalL5Oc0NkfaK,1sICskXqVMRys1f0AKqyBS,Amorcito Enfermito,230546,2023-05-06T17:44:29Z,False,https://open.spotify.com/track/2colCrVYpDalL5Oc0NkfaK
